username;caption;tag;tagId;link
"przedmed";"Czas trochę popracowac😌#premed #premedlife #premedstudent #premedproblems #premeds #med #medicine #studyhard #study #studying #science #biology #chemistry #exams #finalexams #goals #motivation #matura2016 #matura #maturatobzdura #biologia #chemia #cel #motywacja";medicine;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12724900_842943455834583_1860579986_n.jpg?ig_cache_key=MTIxNjA4MDU3ODM1NDc1NzgyMA%3D%3D.2"
"hanakoubaa";"I need some #motivation to study, I need a #partner 😞\n💊🔬\n#work #study #doctor #md #medicine  #white #littmann #green #monday #follow #f4f #l4l #lifestyle";medicine;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/891259_1694578927481604_736422281_n.jpg?ig_cache_key=MTIxNjA4MDU1OTM5Njk2MDQ5NQ%3D%3D.2"
"mohamed_matany";"💪🏻💪🏻💪🏻💪🏻#nevergiveup #lifestyle #futur_doctors #helthyfood #like4like #follow4follow #sport #abs #medicine #waitingforsummer";medicine;1;"https://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/12930983_478469859027800_342932689_n.jpg?ig_cache_key=MTIxNjA4MDU0OTcyNDExMjU0OQ%3D%3D.2"
"lemoynepaprogram";"#Repost @mrs_angemi with @repostapp.\n・・・\nMystery diagnosis!!!!!!\n#iheartautopsy #mysterydiagnosis #pathology #healtheducation #med #medical #medicine #medschool #medstudent #science #anatomy #grossanatomy #physicianassistant #physicianassistantstudent #paschool";medicine;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12917933_1015578501858151_1853265524_n.jpg?ig_cache_key=MTIxNjA4MDQyNTE1NTQxNDc4Ng%3D%3D.2"
"analiajuarez";"Yo Harrisoneo, tu Harrisoneas, nosotros tenemos puestos pañales porque ya empezamos a rendir... #Studianding #studying #Harrison #medicine";medicine;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/1172026_1595355507453702_834556647_n.jpg?ig_cache_key=MTIxNjA4MDM5MjczMzQ3NDg2Mg%3D%3D.2"
"code.blue1";"Click the three dots ... to get to see all the amazing posts #medstudent #medschool #stethoscope #medicine #medical #follow #whitecoat  #studygrind #med #doctor #futuremd #surgeon #surgery #physician #physicianassistant #nursing #nurse #nursingschool #dentist  #inspiration #motivation #premed #usmle #mcat #blessed #quote #lol #coffee #instagram #easter";medicine;1;"https://scontent.cdninstagram.com/t51.2885-15/e35/12317684_1204859316227800_1088508784_n.jpg?ig_cache_key=MTIxNjA4MDI1ODYwNTI4MDQyOA%3D%3D.2"
"westernunews";"It's National ShaDO Day today & tomorrow at WesternU! Today pre-med students from schools including @sdsu @charlesrdrewu @scrippscollege & #csufullerton are shadowing @comp_pomona 1st year students all day! #osteopathic #medicine #presoma #premed #prehealth #students #sandiego #fullerton #losangeles #claremont #pomona #WesternUWay 📷: @westernu_comp";medicine;1;"https://scontent.cdninstagram.com/t51.2885-15/e35/12930893_258785024456726_1045269_n.jpg?ig_cache_key=MTIxNjA4MDA2MzUxNTQzNDUxMQ%3D%3D.2"
"nativeimagela";"...sporting a bright new sweatshirt..#wolf #colors #rainbow #wearableart #magic #medicine #clouds #losangelescold";medicine;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/1963078_1531409497162623_593548489_n.jpg?ig_cache_key=MTIxNjA3NzYzMjI0NTczNDU2Nw%3D%3D.2.l"
"medunifesp_";"Senta que lá vem resumo! \nParte 1 de história da matéria 📢 União Ibérica 📢\n📍D. Henrique (Rei de Portugal) morreu sem deixar herdeiros, Felipe || era o mais próximo da linha de sucessão, porém já era rei da Espanha! Nascia aí a junção das coroas, conhecida como União Ibérica 📍 Como a Espanha era inimiga da Holanda e essa segunda refinava e transportava açúcar no Brasil, sua primeira medida foi o EMBARGO ESPANHOL: nada de comércio entre Brasil e Holanda.\n📍Para não ficar para trás, os holandeses criaram a Companhia das Índias, que controlava o comércio na área holandesa. Após, a Holanda invadiu SALVADOR, BAHIA, mas fracassaram 👎\n📍Numa segunda tentativa, os holandeses invadiram Pernambuco, a comando de Maurício de Nassau. A invasão foi bem sucedida 👍  e entra em vigor o que nós chamamos de Brasil Holandês! 📍Maurício boicotou o tráfico negreiro e começou a investir nas capitanias! O que deixou os senhores de engenho muito felizes! 😄\n📍Porém, isso estava trazendo pra Holanda, mais prejuízo do que lucro, então (lembra da cia das Índias?) ela reclamou ao rei da Holanda sobre Maurício de Nassau, que ao invés de explorar Pernambuco, estava o desenvolvendo e dando até liberdade religiosa! Vê se pode? 😂\n📍Então o rei da Holanda mandou Maurício de Nassau cascar fora do Brasil! 😢\nEssa foi a primeira parte do resumo! Se quiserem a foto com melhor resolução, podem chamar no direct! \n#medicine #medporamor #medunifesp #divulgueaosamigos #foconojaleco #historia #uniaoiberica #parte1";medicine;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/1515274_140279613033231_532409874_n.jpg?ig_cache_key=MTIxNjA4MDAwNzY1NDUzMDM4MQ%3D%3D.2.l"
"asps__";"#backin1986 Senior Management of the ASPS organized a symposium in New York. This trip of 150 people allowed participitants to run the New York Marathon. #asps #medicine #health #running #newyork";medicine;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/928215_1535204173440555_1597745298_n.jpg?ig_cache_key=MTIxNjA4MDAwODkwMzIzNTEwMA%3D%3D.2.l"
"dentamigo";"#DentAmigo #voiceorg #dentalcamp #healthcamp #health #dentist #physician #underprivileged #children  #pedodontics #pediatrics #India #Delhi #patients #healthcare #medicine #crowd #waiting #longline #phase1 #day7";medicine;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/11326436_683650118404801_1436550215_n.jpg?ig_cache_key=MTIxNjA3OTk0NTY3ODY0NTcyNw%3D%3D.2"
"daaailymotivation";"🌿 #daily #dailymotivation #motivationalquotes #motivationquotes #medicine #power #motivation #strong #growth #grow #inspireme #inspireothers #inspiration #inspirational #inspirationalquotes #dailyinspiration #encouragement #staypositive #advice #lesson #today #believe #believeinyourself  #goalsetting #breathe #live #livebeautifully #ready #getset #go";medicine;1;"https://scontent.cdninstagram.com/t51.2885-15/e35/12531182_1009885205715027_883535255_n.jpg?ig_cache_key=MTIxNjA3OTYxMDQ4NTc3NDQ2Ng%3D%3D.2"
"mirror.neuron";"#Watercolor representation of #transmission #electron #micrograph of #mitochondria . \nhttps://www.facebook.com/MirrorNeuronArt\n\n#MirrorNeuronArt #scienceart #bioart #sciart #medicine #neuroscience #lablife #biology #science #mitochondrion #Powerhouse #TEM #cell #organelle";medicine;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12424917_526170364221904_1580535464_n.jpg?ig_cache_key=MTIxNjA3OTQ5NDQ1NTcyOTU3Mg%3D%3D.2.l"
"royalrosin";"#royalflowerrosin #lowtemphighpressure #headstash #topshelf #medicine ##royalrosin #rosinrevolution #rosinnation";medicine;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12519090_970952959660309_236437682_n.jpg?ig_cache_key=MTIxNjA3OTQ5MjQ4NDEzOTc5MQ%3D%3D.2"
"dentamigo";"#DentAmigo #voiceorg #dentalcamp #healthcamp #health #dentist #physician #underprivileged #children  #pedodontics #pediatrics #India #Delhi #patients #healthcare #medicine #phase1 #day7";medicine;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12328270_1683164151943649_728543696_n.jpg?ig_cache_key=MTIxNjA3OTQ3NDEyOTgyNDE5OQ%3D%3D.2"
"suiko.maksim";"Работаем)#скорая #russia #россия #питер#скорая #скораяпомощь #emergency #emhelp #ambulance #photo#фото#medicine #medical";medicine;1;"https://scontent.cdninstagram.com/l/t51.2885-15/s640x640/sh0.08/e35/12328298_1068084359917224_1957838179_n.jpg?ig_cache_key=MTIxNjA3OTM1OTkxODQ0Njc4MA%3D%3D.2.l"
"yesmedical";"#Bilirsinizmi? Ehtiraslı öpüş zamanı dəqiqədə 6,4 kalori itirilir.\n\n#yesmedical #med #medicine #medical #doctor #tibb #sağlık #turizm #instaaz #instaazerbaijan #aztagram";medicine;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12724622_611367259015180_796200402_n.jpg?ig_cache_key=MTIxNjA3OTMzNTkyODgxODQ2NA%3D%3D.2"
"dentamigo";"#DentAmigo #voiceorg #dentalcamp #healthcamp #health #dentist #physician #underprivileged #children  #pedodontics #pediatrics #India #Delhi #patients #healthcare #medicine #phase1 #day7";medicine;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/10449063_209071382796260_567829606_n.jpg?ig_cache_key=MTIxNjA3OTEwMTkyNzI4NzIyMQ%3D%3D.2"
"lemoynepaprogram";"#Repost @sciencenerdsrock with @repostapp.\n・・・\nRepost from my fav nurse @jmeyrili 📚💙💛🐠🐟 just keep studying! #studyspo #science #medicine #nursing #premed #sciencemajors #collegeproblems #physicianassistant #physicianassistantstudent #paschool";medicine;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12317670_1589167431403977_2111625014_n.jpg?ig_cache_key=MTIxNjA3ODc3MjE0NjY1Mzg4NA%3D%3D.2"
"dentamigo";"#DentAmigo #voiceorg #dentalcamp #healthcamp #health #dentist #physician #underprivileged #children  #pedodontics #pediatrics #India #Delhi #patients #healthcare #medicine #volunteer #felicitation #phase1 #day7";medicine;1;"https://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/11378995_1710246405914338_811293873_n.jpg?ig_cache_key=MTIxNjA3ODU5ODE1NzgyMjM2Ng%3D%3D.2"
"code.blue1";"😂😂😂😂😂😂This happens to many third years during ward rounds when you have to clerk and present a patient the following week or when xrays are handed out and the  consultant asks a third yr to interprete it.Lol\n😂😂😂😂\n#medstudent #medschool #stethoscope #medicine #medical #follow #whitecoat  #studygrind #med #doctor #futuremd #surgeon #surgery #physician #physicianassistant #nursing #nurse #nursingschool #dentist  #inspiration #motivation #premed #usmle #mcat #blessed #quote #lol #coffee #funny #easter";medicine;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12905176_1719027598339717_1724837086_n.jpg?ig_cache_key=MTIxNjA3ODI0MjMzNjIzODY5Nw%3D%3D.2.l"
"dentamigo";"#DentAmigo #voiceorg #dentalcamp #healthcamp #health #dentist #physician #underprivileged #children  #pedodontics #pediatrics #India #Delhi #patients #healthcare #medicine #longline #waiting #phase1 #day7";medicine;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12912307_1058720170817870_1073248802_n.jpg?ig_cache_key=MTIxNjA3ODIxNTc1NDczODA2Nw%3D%3D.2"
"yourwholebaby";"Don't start this new chapter of your lives with an irreparable mistake. \n#YWB #wholebaby #circumcision #circumcised #intactivist #i2 #peacefulparenting #naturalparenting #itsaboy #babyboy #hisbodyhischoice #mendocomplain #crunchymom #crunchydad #complications #medical #medicine #hospital #expectingaboy #mambear #dadtobe #secondtrimester #firsttrimester #thirdtrimester #expecting #pregnant #foreskin #consent #autonomy";medicine;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12905189_1684657178456984_1703781397_n.jpg?ig_cache_key=MTIxNjA3ODE0MzAzNDA2MzgxMw%3D%3D.2.l"
"hi._.die";"#историяболезни напиши себя сама, мне нимношк влом сегодня\n#medicine";medicine;1;"https://scontent.cdninstagram.com/l/t51.2885-15/s640x640/sh0.08/e35/1662489_465187293674420_1790440003_n.jpg?ig_cache_key=MTIxNjA3ODExNDUyOTc2OTI1OQ%3D%3D.2"
"dentamigo";"#DentAmigo #voiceorg #dentalcamp #healthcamp #health #dentist #physician #underprivileged #children  #pedodontics #pediatrics #India #Delhi #patients #healthcare #medicine #felicitation #phase1 #day7";medicine;1;"https://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/12917803_1807240996170042_588762410_n.jpg?ig_cache_key=MTIxNjA3NzcxOTQ2NzkxMTU1Mw%3D%3D.2"
"fknloughnane";"Enjoying Easter to the fullest! 🐰🌷💐 #easterlunch #easter #lunch #michelin #restaurant #michelinstar #hungry #good #tasty #exquisite #germany #family #happy #home #gourmet #menu #holiday #follow #igdaily #igers #medstudent #medicine #love #whynot #freudenstadt #blackforest";medicine;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12917826_1072944722751473_1151257982_n.jpg?ig_cache_key=MTIxNjA3NzU5MjEzODQxMjQ5MQ%3D%3D.2"
"stigmastripped";"One year ago. \nI still don't know what landed me in the ER and neither do the doctors. What you see here is an exhausted girl who was doubled over for 15 hours straight while vomiting from the pain. Something that also occurred SEVERAL times before this particular occasion for about two years...on and off very sporadically. Triggers and diagnosis still unknown to this day despite endless diagnostics, procedures and money spent. Over $50,000. I've been treated by ER physicians, specialists, acupuncturists, you name it. After this date, up until right now, I haven't had an issue. One whole year. Not even in the slightest. So strange and very unsettling to think it could happen again without my control. \nKnowing that injecting morphine into my bloodstream for immediate relief is the only thing that stops the pain is also very unsettling since I'd have to visit the ER and spend even more (and still not know what is going on). I know medicine isn't perfect, but c'mon. Around 15 M.D's that graduated from medical school don't even have the slightest CLUE what has been happening to me? I can't be the only person in the world that has experienced this. Having generalized anxiety in this situation didn't help and probably made it worse. Hopefully I can find the right physician who cares as much as me to solve this ongoing mystery. \n#medical #medicalschool #health #er #hospital #ernurse #nursing #icu #morphine #ivfluids #floridahospital #emergencyroom #mysterydiagnosis #chronicillness #chronicpain #illness #pain #stomachpain #sternum #opiates #undiagnosed #diagnosis #emergencymedicine #medicine #medicaldoctor";medicine;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12918601_1113515232002406_2083055254_n.jpg?ig_cache_key=MTIxNjA3NzM2NTQ0MjUxNjU4OQ%3D%3D.2"
"dentamigo";"#DentAmigo #voiceorg #dentalcamp #healthcamp #health #dentist #physician #underprivileged #children  #pedodontics #pediatrics #India #Delhi #patients #healthcare #medicine #felicitation #labtech #phase1 #day7";medicine;1;"https://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/11326299_581684795330822_43331758_n.jpg?ig_cache_key=MTIxNjA3NzIwMTExMDY1NzM5OQ%3D%3D.2"
"dentamigo";"#DentAmigo #voiceorg #dentalcamp #healthcamp #health #dentist #physician #underprivileged #children  #pedodontics #pediatrics #India #Delhi #patients #healthcare #medicine #felicitation #phase1 #day7";medicine;1;"https://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/11326981_998513320215226_1959448031_n.jpg?ig_cache_key=MTIxNjA3NjU3MzE0Nzg1MTEwNw%3D%3D.2"
"cheersafety";"My new favorite non-profit started by Abraham Lincoln in 1863. They do amazing work. #national #academies #sciences #engineering #medicine  #1970 #footballinjuries";medicine;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12907386_204191256636396_1505873908_n.jpg?ig_cache_key=MTIxNjA3NjUxMjAxMjc4OTQ0Nw%3D%3D.2"
"csumb_amsa";"Fetal Heart at 30 weeks.  Photo posted by @mrs_angemi on @figure1 #autopsy #pathology #premed #heart #development #anatomy #medicine";medicine;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12724953_2003822556508867_1628601635_n.jpg?ig_cache_key=MTIxNjA3NjMxNjA0NDk3OTM3Ng%3D%3D.2"
"dentamigo";"#DentAmigo #voiceorg #dentalcamp #healthcamp #health #dentist #physician #underprivileged #children  #pedodontics #pediatrics #India #Delhi #patients #healthcare #medicine #volunteer #felicitation #phase1 #day7";medicine;1;"https://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/12599528_1054340994627819_1404547513_n.jpg?ig_cache_key=MTIxNjA3NjI4NzU0MDkxNDUxOA%3D%3D.2"
"tipfakultesi_gunlugum";"Tıp okuyan ve aday arkadaşlara bu programı tavsiye ederim adı \"Essential skeleton 4\" hem ios hem Android için ücretsiz ama sadece kemikler 😔 3 boyutlu görme imkanı sağlıyor hem istediğimiz kemiği seçip sâdece ona bakabiliyoruz. Ayrıntılarını eh işte en iyi gösteren gerçekçi program bu galiba 😀 tekrar yaparken güzel oluyor. 💀💀💀💀💀💀💀💀💀💀💀💀💀 İşaretleyip büyüttüğüm kemik sphenoid kemikti arkadaşlar bugün baya bi bezdirdi bizi ethmoid, sphenoid ve temporal kemik. Humerus ulna hatta pelvis iskeleti bile kolay kaldı yanında 😄 hoca anlattı da anlattı. \n💀💀💀💀💀💀💀💀💀💀💀\nBaşta bi \" noluyoruz ya nasıl ezberlenecek bu kadar latince isim, hepsi de birbirine benziyor\" diyoruz. Tüm çıkıntıların, girintilerin, tümseklerin bıdı bıdı biir sürü yapının ayrı ayrı adı var ama çalıştıkça çözülüveriyor dilimiz 😊 adını mıh gibi aklımızda tuttuğumuz kemikler oluyor 😄 Zilyon kere tekrar etmeden olmuyor anatomi. Ama çalışması çoook zevkli bence 🙊\n#medicine #medstudent #dönem1 #anatomi #neurocranium #kafakemikleri #Essentialskeleton4";medicine;1;"https://scontent.cdninstagram.com/t51.2885-15/e15/12917773_835753493219513_758643065_n.jpg?ig_cache_key=MTIxNjA3NjE2NTI3NTE1Nzc3Ng%3D%3D.2"
"thearabhospital";"#Magazine#distribution#during #OBS/Gyne#dubai#arab#hospital#hospitals#magazines";hospitals;2;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12918647_1698845150373896_1131653564_n.jpg?ig_cache_key=MTIxNjA4MDY0NTM0NTg5NDg1MQ%3D%3D.2"
"carmen_moroianu_intermedline";"Breast enhancement in Romania .Also,  augmentation with implants in India, Turkey, Thailand, Malaysia, Singapore, Israel, Brazil, Costa Rica, Dominican Republic, France, Hungary, Save  60% on price.\nContact today: office@intermedline.com; phone +40 311.073.167, +40 730.482.672, http://www.intermedline.com/\n#plasticsurgery #plasticsurgeryinRomania #plasticsurgeryclinic #plasticsurgeryclinicinRomania #plasticsurgeon #plasticsurgeoninRomania  #Surgery  #doctor  #surgeryinromania #clinic  #clinicinromania  #hospital  #hospitals  #hospitalinromania  #cosmeticsurgery  #cosmeticsurgeryinromania  #cosmeticsurgeryclinic  #cosmeyicsurgeryclinicinromania  #cosmeticsurgeon  #cosmeticsurgeoninromania  #breastliftinRomania #breastimplants  #breastimplantsinRomania  #breastaugmentation  #breastenhancement  #breastenhancementinRomania  #breastimplantscost #breastimplantscostinRomania";hospitals;2;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12912816_1747054572195153_1608142012_n.jpg?ig_cache_key=MTIxNjA1ODU1OTYzNjEyMjEzNg%3D%3D.2"
"carmen_moroianu_intermedline";"Breast enhancement in Romania .Also,  augmentation with implants in India, Turkey, Thailand, Malaysia, Singapore, Israel, Brazil, Costa Rica, Dominican Republic, France, Hungary, Save  60% on price.\nContact today: office@intermedline.com; phone +40 311.073.167, +40 730.482.672, http://www.intermedline.com/\n#plasticsurgery #plasticsurgeryinRomania #plasticsurgeryclinic #plasticsurgeryclinicinRomania #plasticsurgeon #plasticsurgeoninRomania  #Surgery  #doctor  #surgeryinromania #clinic  #clinicinromania  #hospital  #hospitals  #hospitalinromania  #cosmeticsurgery  #cosmeticsurgeryinromania  #cosmeticsurgeryclinic  #cosmeyicsurgeryclinicinromania  #cosmeticsurgeon  #cosmeticsurgeoninromania  #breastliftinRomania #breastimplants  #breastimplantsinRomania  #breastaugmentation  #breastenhancement  #breastenhancementinRomania  #breastimplantscost #breastimplantscostinRomania";hospitals;2;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/1515150_1679241269004627_326856790_n.jpg?ig_cache_key=MTIxNjA1ODI1ODIwODI3MDg1NQ%3D%3D.2"
"carmen_moroianu_intermedline";"Breast enhancement in Romania .Also,  augmentation with implants in India, Turkey, Thailand, Malaysia, Singapore, Israel, Brazil, Costa Rica, Dominican Republic, France, Hungary, Save  60% on price.\nContact today: office@intermedline.com; phone +40 311.073.167, +40 730.482.672, http://www.intermedline.com/\n#plasticsurgery #plasticsurgeryinRomania #plasticsurgeryclinic #plasticsurgeryclinicinRomania #plasticsurgeon #plasticsurgeoninRomania  #Surgery  #doctor  #surgeryinromania #clinic  #clinicinromania  #hospital  #hospitals  #hospitalinromania  #cosmeticsurgery  #cosmeticsurgeryinromania  #cosmeticsurgeryclinic  #cosmeyicsurgeryclinicinromania  #cosmeticsurgeon  #cosmeticsurgeoninromania  #breastliftinRomania #breastimplants  #breastimplantsinRomania  #breastaugmentation  #breastenhancement  #breastenhancementinRomania  #breastimplantscost #breastimplantscostinRomania";hospitals;2;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/10354353_1568082786837919_149150667_n.jpg?ig_cache_key=MTIxNjA1NzgyNjM5NjI4NTQzMw%3D%3D.2"
